1,151.3042614701,-33.7336336437
2,151.3038041164,-33.7336926571
3,151.3033320093,-33.7336631504
4,151.3028599022,-33.7334418502
5,151.3022992750,-33.7328664696
6,151.3016796344,-33.7320845422
7,151.3014140741,-33.7312436014
8,151.3012517873,-33.7310075479
9,151.3006469001,-33.7296502399
10,151.3000862729,-33.7276880447
11,151.2997764526,-33.7264930236
12,151.2997174392,-33.7258586297
13,151.2995994124,-33.7252832491
14,151.2994961390,-33.7243630091
15,151.2993781122,-33.7239056553
16,151.2993338522,-33.7235663284
17,151.2993190988,-33.7227493618
18,151.2993190988,-33.7223952814
19,151.2993781122,-33.7206045939
20,151.2994371256,-33.7192270001
21,151.2993633589,-33.7183952802
22,151.2995108923,-33.7176133528
23,151.2999387394,-33.7162062523
24,151.3001895463,-33.7149909453
25,151.3004551066,-33.7145630982
26,151.3006764068,-33.7137756383
27,151.3009567204,-33.7134363113
28,151.3012960474,-33.7127281507
29,151.3017829078,-33.7115128437
30,151.3026533553,-33.7098106762
31,151.3033320093,-33.7084625891
32,151.3036418296,-33.7078724553
33,151.3043794969,-33.7064801081
34,151.3052204377,-33.7050139942
35,151.3058695850,-33.7042265343
36,151.3062826787,-33.7037396739
37,151.3065924990,-33.7033708402
38,151.3075367132,-33.7026423937
39,151.3086432143,-33.7025391202
40,151.3100447823,-33.7032767876
41,151.3095874285,-33.7038521681
42,151.3083186406,-33.7038816748
43,151.3073301664,-33.7047078623
44,151.3060908852,-33.7059618968
45,151.3049253708,-33.7082044056
46,151.3039516498,-33.7102403675
47,151.3029631756,-33.7120402758
48,151.3021960015,-33.7136686765
49,151.3015468543,-33.7162560448
50,151.3009124603,-33.7192767927
51,151.3006173934,-33.7241324881
52,151.3011337605,-33.7272823277
53,151.3019304413,-33.7295986032
54,151.3029336689,-33.7319204112
55,151.3039516498,-33.7328996646
56,151.3048663574,-33.7329439247
57,151.3050286442,-33.7337018779
58,151.3042467168,-33.7336281112
59,151.3042614701,-33.7336336437
